status,latitude,longitude,evse_id
AVAILABLE,45.0670567,7.8505421,56687*1
AVAILABLE,45.0670567,7.8505421,56687*2
AVAILABLE,44.8357052,8.3766789,74497*1
AVAILABLE,44.8357052,8.3766789,74497*2
AVAILABLE,44.8357052,8.3766789,74497*3
AVAILABLE,45.4805321,9.2315706,82106*1
AVAILABLE,45.4805321,9.2315706,82106*2
AVAILABLE,45.4805321,9.2315706,82106*3
AVAILABLE,45.4673197,9.2114867,86256*1
AVAILABLE,45.4673197,9.2114867,86256*2
AVAILABLE,45.4407972,9.1793963,90409*1
AVAILABLE,45.4407972,9.1793963,90409*2
AVAILABLE,45.4617576,9.1544309,90410*1
AVAILABLE,45.4617576,9.1544309,90410*2
AVAILABLE,45.5064975,9.1041746,106084*1
AVAILABLE,45.5064975,9.1041746,106084*2
AVAILABLE,45.4914592,9.184007,106085*1
AVAILABLE,45.4914592,9.184007,106085*2
AVAILABLE,45.5838593,9.1752398,6803995*1
AVAILABLE,45.5838593,9.1752398,6803995*2
AVAILABLE,45.5124874,9.2708078,6824145*1
AVAILABLE,45.5124874,9.2708078,6824145*2
AVAILABLE,45.3279044,9.1030025,6824535*1
AVAILABLE,45.3279044,9.1030025,6824535*2
AVAILABLE,45.7874094,9.2969645,6895895*1
AVAILABLE,45.7874094,9.2969645,6895895*2
AVAILABLE,45.5045389,11.6248258,6904425*1
AVAILABLE,45.5045389,11.6248258,6904425*2
AVAILABLE,45.6829367,9.607498,6921145*1
AVAILABLE,45.6829367,9.607498,6921145*2
AVAILABLE,40.560711,14.990349,CP001-1
AVAILABLE,40.560711,14.990349,CP001-2
CHARGING,40.442887,15.008584,CP002-1
AVAILABLE,40.442887,15.008584,CP002-2
OUTOFORDER,40.34939,14.992011,CP003-1
AVAILABLE,40.34939,14.992011,CP003-2
AVAILABLE,40.291247,14.950859,CP004-1
AVAILABLE,40.291247,14.950859,CP004-2
AVAILABLE,40.230887,15.264931,CP006-1
AVAILABLE,40.230887,15.264931,CP006-2
CHARGING,40.44301,15.00804,CP008-1
AVAILABLE,40.44301,15.00804,CP008-2
AVAILABLE,40.38557,15.026404,CP009-1
AVAILABLE,40.38557,15.026404,CP009-2
AVAILABLE,40.719364,14.544908,CP010-1
AVAILABLE,40.719364,14.544908,CP010-2
AVAILABLE,40.400289,15.116824,CP011-1
AVAILABLE,40.400289,15.116824,CP011-2
AVAILABLE,43.154575,11.083166,CP012-1
AVAILABLE,43.154575,11.083166,CP012-2
AVAILABLE,40.901831,15.43012,CP013-1
AVAILABLE,40.901831,15.43012,CP013-2
AVAILABLE,40.85369,14.870453,CP014-1
AVAILABLE,40.85369,14.870453,CP014-2
CHARGING,40.076556,15.590263,CP015-1
AVAILABLE,40.076556,15.590263,CP015-2
AVAILABLE,43.546075,11.0456912,CP016-1
AVAILABLE,43.546075,11.0456912,CP016-2
AVAILABLE,43.5502323,11.0465897,CP017-1
AVAILABLE,43.5502323,11.0465897,CP017-2
CHARGING,40.1406652,15.1678152,CP018-1
AVAILABLE,40.1406652,15.1678152,CP018-2
AVAILABLE,40.4442318,15.2531426,CP019-1
AVAILABLE,40.4442318,15.2531426,CP019-2
AVAILABLE,40.9381,15.325718,CP020-1
AVAILABLE,40.9381,15.325718,CP020-2
AVAILABLE,40.5597018,15.3066106,CP021-1
AVAILABLE,40.5597018,15.3066106,CP021-2
AVAILABLE,40.226291,15.046607,CP022-1
AVAILABLE,40.226291,15.046607,CP022-2
AVAILABLE,40.351454,15.0452223,CP023-1
AVAILABLE,40.351454,15.0452223,CP023-2
AVAILABLE,40.504619,15.0647891,CP024-1
AVAILABLE,40.504619,15.0647891,CP024-2
AVAILABLE,43.1524921,11.1512887,CP025-1
AVAILABLE,43.1524921,11.1512887,CP025-2
AVAILABLE,40.0543947,15.4939437,CP026-1
